nr,date,year,title,duration_min,notes,link
1,2018-02-08,2018,Was Große Koalitionen anrichten,41,"Die Premiere unseres transalpinen Debatten-Podcast, mit folgenden Themen:

Deutschland hat endlich eine neue Regierung – aber was passiert mit einem Land, das jahrzehntelang von einer GroKo regiert wird? Nirgendwo regierten die zwei Großparteien länger gemeinsam als in Österreich und die FPÖ erstarkte derweil. Muss das so sein? Und in der Schweiz regieren tatsächlich alle Parteien irgendwie mit. Wie soll das funktionieren?

Außerdem: ziemlich viele Schweizer wollen den öffentlichen Rundfunk abschaffen, per Volksabstimmung. Was haben die Schweizer gegen ihr Radio und Fernsehen? Und was hat das mit der Wut der österreichischen FPÖ auf den dortigen Rundfunk zu tun? Und mit dem deutschen Streit um ARD und ZDF als vermeintlichen “Staatsfunk”.",https://www.zeit.de/gesellschaft/2018-02/politikpodcast-servus-grueezi-hallo-08-februar-2018
2,2018-02-14,2018,Olympia ist doch Schnee von gestern,37,"Die Winterspiele laufen in Südkorea – und seit langem nicht mehr in den drei Alpenländern. Warum? Und wofür steht Sebastian Kurz? Folge zwei unseres transalpinen Podcasts.

Es gibt ja Städte in Österreich und der Schweiz, die ihren Ruhm und ihr Selbstverständnis zu großen Teilen dem Status als Olympia-Ausrichter verdanken. Innsbruck zum Beispiel. Aber jetzt wollen die meisten Österreicher und Schweizer, aber auch die meisten Deutschen Olympia nicht mehr. Warum zieht der Werbeeffekt nicht mehr? Und ist es nicht traurig, wenn Länder sich nur noch das zumuten, was sich sofort “rechnet”? Das zweite Thema in der zweiten Folge von “Servus. Grüezi. Hallo.“: Das Phänomen Sebastian Kurz. Der junge österreichische Kanzler wird vom Boulevard länderübergreifend angehimmelt. Obwohl er mit Rechtspopulisten regiert. Wir versuchen zu verstehen, woher die Sehnsucht nach feschen Buben in der Politik kommt.",https://www.zeit.de/gesellschaft/2018-02/politikpodcast-servus-grueezi-hallo-14-februar-2018
3,2018-02-21,2018,Den Kapitalismus überwinden!,39,"In der Schweiz sind Sozialdemokraten linker als in Deutschland – und erfolgreicher. Und Wien könnte Vorbild beim Nahverkehr sein. Folge drei unseres transalpinen Podcasts

Bei 16 Prozent steht die SPD in Deutschland in neuesten Umfragen, mal wieder ein neues Tief. Muss das so sein? In Österreich und der Schweiz stehen die Sozialdemokraten etwas besser da. In der Schweiz schaffen sie es gar, gleichzeitig kapitalismuskritische Opposition und Regierungspartei zu sein. Was machen sie anders und welche Probleme haben sie in allen drei Ländern? Darüber reden wir in der neuen Folge von “Servus. Grüezi. Hallo.”

Außerdem: In Deutschland soll in ein paar Städten die Benutzung von Bussen und Bahnen kostenlos werden, damit weniger Leute mit dem Auto fahren und das Klima nicht mehr so leidet. In Wien gibt es längst das Ein-Euro-Ticket für den Nahverkehr und mehr Abonnenten als Autos. Und wie erträgt die Schweiz eigentlich die vielen SUV-Fahrer und ihre Abgase?",https://www.zeit.de/gesellschaft/2018-02/politikpodcast-servus-grueezi-hallo-21-februar-2018
4,2018-02-28,2018,Steuern zahlen ist eine Zumutung,31,"Die Schweizer stimmen ab, ob der Bund überhaupt Steuern erheben darf. Irrsinn oder gesunde Staatsskepsis? Und: Warum die Deutschen und Schweizer den Wiener Schmäh lieben.

Die Schweizer zahlen sowieso schon weniger Steuern als die Österreicher und Deutschen, nun stimmen sie sogar darüber ob, ob der Bund keine eigenen Steuern mehr eintreiben darf. Was verrät das über das Verhältnis der Bürger zu ihrem Staat?

Außerdem reden wir in der vierten Folge von “Servus. Grüezi. Hallo.” über Freundlichkeit. Wien, Zürich und Berlin gelten als ausserordentlich unfreundliche Städte. Aber der Schmäh und das Schimpfen der Österreicher haben auch etwas herzerwärmendes und die nüchternen Schweizer einen ganz speziellen Charme. Oder ist das nur der Jö-Effekt, den ein Berliner in der Fremde übermannt?",https://www.zeit.de/gesellschaft/2018-02/politikpodcast-servus-grueezi-hallo-28-februar-2018
5,2018-03-07,2018,"Oida, es langt!",30,"In Österreich macht ein Frauenvolksbegehren Furore. Wie gut schneiden die Schweiz und Deutschland bei der Gleichstellung ab? Und: die letzten Gegner des Rauchverbots.

Schon über 200.000 Österreicherinnen und Österreicher haben ein Volksbegehren unterschrieben, das die Gleichstellung von Frauen fördern will. Es geht um verbindliche Frauenquoten, aber auch um kürzere Arbeitszeiten, kostenlose Kinderbetreuung – und generell darum, die immer noch krasse Benachteiligung von Frauen auf die Agenda zu setzen. Wir vergleichen: sind die Schweiz und Österreich da schon weiter? Und wir streiten darüber, in welche Bereiche der Staat eingreifen sollte und in welche nicht.

Außerdem: die FPÖ macht Stimmung gegen ein echtes Rauchverbot in Kneipen. Nur: so richtig verfängt das nicht. Überhaupt hat sich in allen drei Ländern überraschend schnell die Meinung durchgesetzt, dass Rauchen in Gaststätten verboten gehört. Selbst die sonst oft freiheitsliebenden Schweizer machen da gern mit.",https://www.zeit.de/gesellschaft/2018-03/politikpodcast-servus-grueezi-hallo-06-maerz-2018
6,2018-03-14,2018,Dann soll das Volk es halt selbst machen,33,"Ein Österreicher empfiehlt mehr Mitbestimmung gegen Rechtspopulisten, aber in der Schweiz weiß man es besser. Und: wie kaputt ist der Fussball in den Alpenländern?

Der österreichische Autor Philippe Narval ist durch Europa gefahren und hat sich angesehen, wo und wie Bürger direkt politisch mitbestimmen können. Seine Empfehlung: Wenn die Bürger mehr Macht haben, haben auch Populisten schlechtere Chancen. Aber stimmt das? Zeigt nicht das Beispiel der Schweizer Volkspartei, dass sich direkte Demokratie und Populismus sehr gut miteinander vertragen? Und irgendwie ist es generell schräg, dem Volk nur deshalb mehr Macht zu geben, damit es dann bitte nicht mehr so blöd wählt.

Das zweite Thema in dieser Ausgabe von “Servus. Grüezi. Hallo.“: Der Fussball. Am Donnerstagabend spielt Borussia Dortmund in der Europa League gegen Red Bull Salzburg. Der Verein der “echten Liebe” gegen den Brauseclub. Oder? Wir sprechen über die Kommerzialisierung des Fussballs und darüber, warum die Ligen in Österreich und der Schweiz eigentlich auf reiche Gönner angewiesen sind.",https://www.zeit.de/gesellschaft/2018-03/politikpodcast-servus-grueezi-hallo-08-februar-2018
7,2018-03-21,2018,Wer schützt hier die Verfassung?,34,"Die FPÖ filzt den österreichischen Geheimdienst. Und die Schweiz hatte gar mal eine eigene Kampftruppe zum Verfassungsschutz. Und: Warum wir uns ans Bargeld krallen.

Sehr merkwürdige Geschichte in Wien: Da lässt die Staatsanwaltschaft das Hauptquartier des Bundesamts für Verfassungsschutz und Terrorismusbekämpfung durchsuchen, mit einer Polizeitruppe die von einem FPÖ-Politiker geleitet wird und nimmt dabei auch Unterlagen über Rechtsextreme mit. Was zumindest verdächtig aussieht, weil Innenminister Herbert Kickl zur rechtspopulistischen FPÖ gehört. Reißt sich die Partei den Verfassungsschutz unter den Nagel? Und wie politisch neutral ist der eigentlich in Deutschland und der Schweiz?

Unser zweites Thema diese Woche bei “Servus. Grüezi. Hallo.“: Warum in den Alpenländern alle auf Bargeld stehen. In vielen anderen Ländern wird längst meist mit Karte oder Handy bezahlt, nur bei uns nicht. Warum stecken wir uns so gern die Scheine unters Kopfkissen und ins Portemonnaie? Ist das affig oder sinnvoller Schutz gegen Datensammelei und Übergriffigkeiten des Staates?",https://www.zeit.de/gesellschaft/2018-03/politikpodcast-servus-grueezi-hallo-21-maerz-2018
8,2018-03-28,2018,Gehört der Islam in die Alpen?,31,"Wir diskutieren, wie Österreich, die Schweiz und Deutschland mit ihren Muslimen umgehen. Und: Wieso die Alpenbewohner weltläufiger sind als die Flachländer.

Schon wieder eine Islam-Debatte in Deutschland. Danke, Horst Seehofer. Aber wie halten es eigentlich die beiden Nachbarländern mit ihren Muslimen? In Österreich haben sie ein Recht auf islamische Seelsorge und müssen im Gegenzug ihre Imame selbst finanzieren. So steht es im über 100-jährigen Islamgesetz. Die Schweiz tut sich da schwerer. In ihrer Verfassung steht: der Bau von Minaretten ist verboten.

Unser zweites Thema diese Woche bei “Servus. Grüezi. Hallo.“: Endlich sprechen wir über die Alpen. Wie lebt es sich dort eigentlich? Und wie beeinflusst die Höhenluft die Mentalität? Florian Gasser muss das wissen: Er ist in Innsbruck zwischen Felswänden aufgewachsen.",https://www.zeit.de/gesellschaft/2018-03/politikpodcast-servus-grueezi-hallo-28-maerz-2018
9,2018-04-04,2018,Wie haltet Ihr es mit dem Russen?,31,"Die Schweiz ist neutral seit 500 Jahren, Österreich manchmal auch – wenn es gerade passt, wie jetzt im Falle Russlands. Außerdem: die Eventisierung der Innenstädte.

Deutschland hat wie viele andere EU-Staaten russische Diplomaten ausgewiesen, nachdem die britische Regierung Russland für die Ermordung des Ex-Agenten Sergej Skripal in London verantwortlich gemacht hat. Österreich und die Schweiz machen da nicht mit. Sie berufen sich auf ihre Neutralität. Gerade die Regierung in Wien hätte halt gern beides: Westbindung und EU-Mitgliedschaft, aber gleichzeitig keinen Ärger mit Moskau.

Unser zweites Thema diese Woche bei “Servus. Grüezi. Hallo.“: Wem gehört der öffentliche Raum in den Innenstädten? In Zürich wollen Bürger dafür sorgen, dass nicht ständig Events den schönsten Platz der Stadt in Beschlag nehmen. Sind das alles urbane Romantiker? Und wie geht man in Wien oder Berlin mit dem Budenzauber um?",https://www.zeit.de/gesellschaft/2018-04/politikpodcast-servus-grueezi-hallo-04-maerz-2018
10,2018-04-11,2018,"Arrogante Städter, reaktionäre Bauernschädel",33,"Die Stimmung zwischen Stadt- und Landbewohnern ist angespannt. Woran liegt das? Und: warum Dialekte toll sind.

Bei Wahlen wird es immer wieder deutlich: In Österreich, Deutschland und der Schweiz schneiden die rechtspopulistischen Parteien auf dem Land viel besser ab als in den Städten. Dort dominieren Linke und Grüne. Warum? Müssten sich die Metropolen mehr um die ländlichen Regionen kümmern oder ist das schon zu sehr von oben herab gedacht?

Das zweite Thema in der zehnten Folge von “Servus. Grüezi. Hallo.“: Der Zauber der Dialekte. In Deutschland hat das Hochdeutsche die Dialekte zurückgedrängt, in Österreich verstummen die Tiroler, wenn sie nach Wien ziehen. Welche Mundart gilt als edel und welche als dümmlich? Und wir fragen uns, wie sich eigentlich Schweizer miteinander unterhalten, die aus verschiedenen Landesteilen kommen.",https://www.zeit.de/gesellschaft/2018-04/politikpodcast-servus-grueezi-hallo-11-april-2018
